model;ACC;Precision;Recall;F1;ROC;Jaccard
LogisticRegression;0.78;0.34545454545454546;0.056716417910447764;0.09743589743589744;0.5141289599433662;0.05121293800539083
KNeighborsClassifier;0.749375;0.2;0.06567164179104477;0.09887640449438202;0.4980532121998702;0.05200945626477541
DecisionTreeClassifier;0.79375;0.5075528700906344;0.5014925373134328;0.5045045045045045;0.6863193911863605;0.3373493975903614
RandomForestClassifier;0.846875;0.7647058823529411;0.3880597014925373;0.5148514851485149;0.6782195740664267;0.3466666666666667
BaggingClassifier;0.8425;0.7172774869109948;0.408955223880597;0.5209125475285171;0.6831337384225119;0.35218508997429304
AdaBoostClassifier;0.848125;0.75;0.41194029850746267;0.5317919075144508;0.6877883310719132;0.36220472440944884
GradientBoostingClassifier;0.85625;0.8070175438596491;0.41194029850746267;0.5454545454545455;0.6929266709928618;0.375
SVC;0.790625;0.00.00.00.5;0.0
XGBClassifier;0.848125;0.7129629629629629;0.4597014925373134;0.5589836660617059;0.7053448174149017;0.3879093198992443
VotingClassifier;0.849375;0.7865853658536586;0.3850746268656716;0.5170340681362725;0.6787033213379743;0.34864864864864864
LinearDiscriminantAnalysis;0.8;0.5675675675675675;0.1880597014925373;0.2825112107623318;0.5750575187304584;0.16449086161879894
